Australian Bureau of Statistics

"2021 Census - selected dwelling characteristics"
"SA2 (EN) by STRD Dwelling Structure"
"Counting: Dwelling Records"

Filters:
"Default Summation","Dwelling Records"

"STRD Dwelling Structure","Separate house","Semi-detached, row or terrace house, townhouse etc. with one storey","Semi-detached, row or terrace house, townhouse etc. with two or more storeys","Flat or apartment in a one or two storey block","Flat or apartment in a three storey block","Flat or apartment in a four to eight storey block","Flat or apartment in a nine or more storey block","Flat or apartment attached to a house","Caravan","Cabin, houseboat","Improvised home, tent, sleepers out","House or flat attached to a shop, office, etc.","Not stated","Not applicable","Total",
"SA2 (EN)",
"Surrey Hills (East) - Mont Albert",2527,819,360,383,109,59,0,7,0,0,0,5,7,10,4275,
"Beaumaris",4280,373,510,236,56,14,0,11,0,0,0,34,0,0,5515,
"Brighton (Vic.)",5656,1054,1270,629,704,828,96,5,0,0,0,68,10,14,10335,
"Brighton East",4489,694,913,240,71,16,0,0,0,0,0,14,4,6,6453,
"Highett (West) - Cheltenham",3121,779,553,340,189,155,0,0,0,0,0,45,5,3,5207,
"Hampton",4572,1024,687,873,248,385,0,10,0,0,0,55,8,7,7878,
"Sandringham - Black Rock",3870,1255,795,443,441,572,241,0,0,3,3,81,9,10,7715,
"Bentleigh - McKinnon",5816,1087,1148,1035,436,763,0,7,0,0,0,63,23,3,10379,
"Carnegie",2746,1924,636,2331,398,1391,0,4,0,0,0,12,7,9,9464,
"Caulfield - North",3509,1268,1220,2064,992,974,334,4,0,0,0,13,11,26,10427,
"Caulfield - South",3654,1525,986,916,284,149,0,10,0,0,0,22,6,13,7565,
"Elsternwick",2056,655,425,1521,428,491,136,8,0,0,0,54,6,7,5786,
"Hughesdale",1700,800,298,160,107,281,0,0,0,0,0,0,4,5,3350,
"Murrumbeena",1967,719,389,911,184,91,0,4,0,0,0,6,3,0,4275,
"Ormond - Glen Huntly",1984,1259,504,1633,730,133,24,0,0,0,0,60,4,0,6330,
"Bentleigh East - North",4250,429,558,839,122,177,0,6,0,0,0,10,3,0,6392,
"Bentleigh East - South",3926,374,386,793,33,98,0,3,0,0,0,13,5,0,5621,
"Aspendale Gardens - Waterways",2541,51,96,327,0,0,0,0,0,0,0,0,0,0,3009,
"Braeside",16,0,4,0,0,0,0,0,0,0,0,0,4,0,23,
"Carrum - Patterson Lakes",2921,689,1009,555,133,139,0,0,0,0,0,10,5,0,5462,
"Chelsea - Bonbeach",2581,1451,1045,1884,104,20,0,3,6,165,0,10,7,3,7286,
"Chelsea Heights",1661,241,30,176,0,4,0,0,0,0,0,0,0,0,2112,
"Highett (East) - Cheltenham",5726,1766,986,1124,274,763,213,3,0,0,3,51,5,13,10931,
"Edithvale - Aspendale",3240,267,528,1363,130,41,0,6,0,0,0,14,8,5,5581,
"Mentone",2671,1559,813,840,148,180,84,3,0,0,0,35,3,4,6348,
"Moorabbin - Heatherton",2867,209,141,242,0,233,127,0,0,0,0,7,8,11,3842,
"Moorabbin Airport",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
"Mordialloc - Parkdale",4240,2316,1311,970,199,4,0,6,0,0,0,40,3,3,9089,
"Malvern - Glen Iris",3608,831,866,2287,1521,575,0,0,0,0,3,207,11,12,9915,
"Malvern East",4782,1412,816,860,593,659,445,0,0,0,0,206,12,41,9835,
"Bundoora - East",3535,84,150,4,0,53,0,3,0,0,0,0,7,10,3843,
"Greensborough",6857,733,460,77,74,53,0,13,0,0,7,0,6,3,8275,
"Heidelberg - Rosanna",4234,652,521,612,273,537,198,0,0,0,7,12,12,6,7070,
"Heidelberg West",4083,1291,1191,197,38,27,200,10,0,0,0,3,11,20,7068,
"Ivanhoe",2907,495,699,829,108,581,0,0,0,0,0,9,16,5,5648,
"Ivanhoe East - Eaglemont",2370,32,86,506,68,73,0,0,0,0,0,0,0,0,3142,
"Montmorency - Briar Hill",5687,706,305,89,13,0,0,8,0,0,0,0,4,8,6824,
"Viewbank - Yallambie",6180,669,423,11,34,0,0,6,0,0,0,11,5,9,7343,
"Watsonia",3429,240,116,16,8,0,0,8,0,0,5,0,0,0,3814,
"Kingsbury",2381,168,668,253,545,316,127,3,0,0,5,4,4,32,4498,
"Preston - East",5099,1127,1038,285,326,1593,312,7,0,0,61,125,12,14,9993,
"Preston - West",3182,1019,652,238,161,207,0,3,0,0,0,28,0,4,5505,
"Reservoir - North East",3751,1242,1322,488,93,0,0,8,0,0,10,27,0,3,6945,
"Reservoir - North West",3379,364,141,5,0,0,0,0,0,0,0,3,0,7,3905,
"Reservoir - South East",3615,1419,734,203,20,0,0,4,0,0,0,41,6,12,6054,
"Reservoir - South West",3545,1761,883,191,19,0,0,11,0,0,4,35,7,12,6474,
"Eltham",7479,158,278,534,49,35,0,5,0,0,7,4,6,9,8562,
"Hurstbridge",1267,26,9,0,0,0,0,0,0,0,0,0,0,0,1307,
"Kinglake",1712,8,0,0,0,0,0,0,4,4,4,0,0,0,1731,
